,Unnamed: 0,Id,Time,User,Content,hashtags,likes,Date
0,0,1631081205302013956,2023-03-01 23:57:18+00:00,Ballaban,Tesla Cybertruck interior vs. Ford F-150 Lightning interior https://t.co/kyeUvClD5T,,656,2023-03-01
1,1,1631444041777950721,2023-03-02 23:59:04+00:00,teslaownersSV,"""There is a clear path to a sustainable energy Earth with abundance."" @elonmusk
 https://t.co/YCbrHlRYvy",,644,2023-03-02
2,2,1631806449579102208,2023-03-03 23:59:09+00:00,jimstewartson,4chan and Andrew Tate are trending because @elonmusk wanted a safe space for neo-Nazi incels like himself.,,681,2023-03-03
3,3,1632166489376849920,2023-03-04 23:49:49+00:00,SF___Tahoe,"@elonmusk @MartinViecha @baglino @tomzhu_nz Can next event can be Energy Day?  Discuss Battery Storage (MegaPacks &amp; PowerWalls, software like AutoBidder) &amp; role in Master Plan 3. Street models for energy vastly discount Tesla’s 1 TWh Goal. Much confusion. https://t.co/QP4Ek7vwiM",,476,2023-03-04
4,4,1632530923764740103,2023-03-05 23:57:57+00:00,brunafeia,elon musk vc quer quanto pra eu não precisar mais ver a dani senta com carinho na minha tl?,,291,2023-03-05
5,5,1632893368463237127,2023-03-06 23:58:11+00:00,EdySmol,"No es Nuevo León… es Nuevo Elon…

     El que entendió….entendió….!",,400,2023-03-06
6,6,1633256097170747393,2023-03-07 23:59:32+00:00,gatewaypundit,"Biden Regime Retaliates Against Elon Musk, Demands He “Identify All Journalists” Given Access to Twitter Files – Musk Responds https://t.co/hVyNuuCsdu",,1687,2023-03-07
7,7,1633618152062844928,2023-03-08 23:58:13+00:00,ForgiatoBlow47,"Rate Your Experience On Twitter 1-10 Since Elon Has Taken Over 👇🏻👇🏻

I’m Going To Give Him A 10 🙏 https://t.co/2H54mpnOrl",,35475,2023-03-08
8,8,1633979660575858690,2023-03-09 23:54:43+00:00,TheUSASingers,Elon Musk is the source of all Twitter’s bullshit.,,379,2023-03-09
9,9,1634343372667101184,2023-03-10 23:59:59+00:00,thevivafrei,"@elonmusk And the prosecution withheld exculpatory evidence from Chansley. Absolute, bona fide, malicious Brady violation.",,4318,2023-03-10
10,10,1634705683697356805,2023-03-11 23:59:41+00:00,elonmusk,@KeithOlbermann I do hope to succeed in business 🤞,,186457,2023-03-11
11,11,1635065780521021440,2023-03-12 23:50:34+00:00,Eddystone506,"@andrealeadsom Andrea, we are all desperate for quantifiable benefits of Brexit. If you genuinely gave her three, please post them here.

On the day BYD announce that they too didn't invest in the UK as well as Tesla, which means it's highly unlikely the UK will have an EV industry, you owe it.",,219,2023-03-12
12,12,1635430486037213186,2023-03-13 23:59:47+00:00,axidentaliberal,"Former Lt Col Larry Brock stormed the Capitol on January 6

After saying “we need to execute the traitors”

And posting a plan to capture &amp; torture “all democratic politicians”

This is the coup Trump and the GOP incited

Yet Tucker Carlson and @elonmusk say it was “non-violent” https://t.co/Tcr1YqNUw9",,322,2023-03-13
13,13,1635791161183854593,2023-03-14 23:52:59+00:00,MattWallace888,Elon Musk is fighting back against the system!,,7612,2023-03-14
14,14,1636151843448340482,2023-03-15 23:46:12+00:00,jeremysmiles,elon musk is an idiot https://t.co/yl7ZqYDIwS,,597,2023-03-15
15,15,1636516375740006400,2023-03-16 23:54:43+00:00,realAaronHermes,@elonmusk @Timcast https://t.co/ePULHUfGGX,,675,2023-03-16
16,16,1636879868687446016,2023-03-17 23:59:07+00:00,teslaownersSV,Happy St Patrick’s Day @elonmusk @mayemusk https://t.co/PSIgQkZADs,,10095,2023-03-17
